CPD,OUTLIER,TOXICITY,AVERAGE_POINTS,MIN_FC,AUC,BOUNDS,CONCENTRATION,RESPONSE
cpd477,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.524,0.845,0.977,1.007,1.03,1.054,1.048,0.993"
cpd478,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.882,0.877,0.915,0.973,0.985,1.013,0.93,1.009"
cpd479,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.913,0.981,0.985,0.998,1.004,1.001,1.002,1.013"
cpd480,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.786,0.91,0.987,1.014,1.021,1.036,1.006,0.998"
cpd481,1,1,1,0, ,0.0:0.2:0.8:1.2:-3.0:-0.33,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.53,0.707,0.876,0.975,1.008,1.043,1.013,0.981"
cpd482,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.715,0.94,0.931,0.961,0.982,0.986,1.016,1.031"
cpd483,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.929,1.012,0.962,1.02,0.948,0.983,0.97,0.993"
cpd484,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.772,0.95,0.975,0.959,0.986,1.002,1.015,0.995"
cpd485,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.949,1.005,0.997,0.953,1.03,1.008,0.983,1.016"
cpd486,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.379,0.583,0.732,0.816,0.95,0.982,0.985,1.008"
cpd487,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.38,0.479,0.635,0.791,0.907,0.952,0.998,1.006"
cpd488,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.424,0.42,0.508,0.811,0.893,0.991,1.003,1.016"
cpd489,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.761,0.919,0.899,0.959,0.975,0.949,0.98,0.997"
cpd490,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.414,0.841,0.947,0.992,0.994,0.963,0.974,1.001"
cpd491,1,1,1,0, ,0.0:0.2:0.8:1.2:-3.0:-0.33,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.399,0.384,0.3081,0.416,0.692,0.924,0.946,0.986"
cpd492,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.649,0.902,1.009,1.051,1.034,1.024,1.006,1.02"
cpd493,1,1,1,0, ,0.0:0.2:0.8:1.2:-3.0:-0.33,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.429,0.452,0.722,0.909,0.965,0.952,1.026,1.005"
cpd494,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.711,0.862,0.926,0.954,0.987,0.989,0.978,0.665"
cpd495,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.802,0.94,0.899,0.978,0.969,0.997,1.003,1.014"
cpd496,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.923,0.909,0.933,0.982,0.995,0.97,1.006,1.006"
cpd497,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.55,0.648,0.728,0.852,0.983,0.977,1.008,1.023"
cpd498,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.585,0.757,0.942,0.968,1.022,1.008,1.012,1.046"
cpd499,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.801,0.921,0.986,0.995,1.039,1.033,0.968,0.989"
cpd500,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.711,0.893,0.974,0.971,1.016,0.986,1.003,0.998"
cpd501,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.905,0.954,0.993,0.983,0.941,0.992,0.99,0.98"
cpd502,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.646,0.798,0.897,0.982,0.959,1.006,1.005,1.018"
cpd503,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.982,0.995,1.021,0.985,0.988,0.989,0.952,0.971"
cpd504,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.649,0.2296,0.698,0.693,1.014,1,0.99,1.002"
cpd505,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.819,0.885,0.992,0.998,1.03,1.017,1.042,1.018"
cpd506,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.495,0.852,0.936,1.001,1.015,1.03,1.019,1"
cpd507,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.898,0.983,0.967,0.987,1.019,0.962,1.054,0.998"
